iterations,training scores,test scores
1,0.7446545454545455,0.7304
2,0.7934,0.777
3,0.8238727272727273,0.8023
4,0.8336363636363636,0.8131
5,0.8335454545454546,0.8145
6,0.8234,0.7993
7,0.7681454545454546,0.745
8,0.8054727272727272,0.7858
9,0.7832727272727272,0.7577
10,0.8348545454545454,0.8098
11,0.8071272727272727,0.7795
12,0.7915090909090909,0.7682
13,0.8195090909090909,0.791
14,0.8013090909090909,0.7802
15,0.7731454545454546,0.7507
16,0.8260545454545455,0.7902
17,0.8210545454545455,0.7934
18,0.8177090909090909,0.7904
19,0.8484,0.8164
20,0.8147454545454546,0.7861
