iterations,passive aggressive mistakes
0,31798
1,23249
2,20918
3,19581
4,18631
5,17936
6,17379
7,16979
8,16685
9,16486
10,16211
11,16065
12,15830
13,15707
14,15579
15,15491
16,15431
17,15259
18,15144
19,15087
20,15020
21,14850
22,14832
23,14816
24,14813
25,14631
26,14611
27,14581
28,14511
29,14425
30,14406
31,14348
32,14232
33,14209
34,14207
35,14212
36,14089
37,14105
38,14017
39,13998
40,14022
41,13968
42,13927
43,13898
44,13852
45,13838
46,13756
47,13769
48,13729
49,13758
