iterations,training scores,test scores
1,0.8486545454545454,0.8351
2,0.8558363636363636,0.8405
3,0.8599636363636364,0.8417
4,0.8616727272727273,0.8423
5,0.8638727272727272,0.8426
6,0.8644727272727273,0.8431
7,0.8657272727272727,0.8431
8,0.8657272727272727,0.8416
9,0.8663272727272727,0.8443
10,0.8668,0.8422
11,0.8672545454545455,0.8414
12,0.8674181818181819,0.8407
13,0.8689272727272728,0.8408
14,0.8697272727272727,0.8415
15,0.8691636363636364,0.8418
16,0.8700181818181818,0.8429
17,0.8694909090909091,0.8395
18,0.8699818181818182,0.8407
19,0.8703818181818181,0.8406
20,0.8702545454545455,0.8385
