iterations,perceptron mistakes
0,13764
1,11867
2,11643
3,11347
4,11334
5,11172
6,10928
7,10922
8,11026
9,10705
10,10729
11,10774
12,10735
13,10684
14,10729
15,10566
16,10695
17,10646
18,10644
19,10586
20,10628
21,10573
22,10511
23,10451
24,10533
25,10559
26,10410
27,10356
28,10505
29,10396
30,10482
31,10429
32,10463
33,10389
34,10467
35,10391
36,10469
37,10328
38,10435
39,10331
40,10228
41,10371
42,10317
43,10330
44,10270
45,10331
46,10399
47,10331
48,10375
49,10244
